bfs_nummer,name,einwohnerzahl,min_distanz_m
3316,Weesen,1898,9142.236398731666
880,Rüeggisberg,1745,7236.621907068347
1010,Escholzmatt-Marbach,4559,10267.884714741811
4184,Mettauertal,2176,6127.155213367432
5798,Ropraz,530,6877.989021431187
1210,Hospental,180,9431.169211849236
292,Stammheim,2947,6348.771041922923
971,Attiswil,1546,6700.356843764738
114,Fischenthal,2666,5356.565277328546
740,Ligerz,525,5284.759476544331
2338,La Verrerie,1350,7819.155687053185
6748,Les Genevez (JU),516,7333.499747348484
6104,Ergisch,183,6968.302969868889
2421,Aedermannsdorf,593,7053.313702637356
983,Oberbipp,1955,5320.039691396514
6083,Evolène,1666,6874.679698628833
4816,Homburg,1573,9800.446629324024
901,Eggiwil,2451,8682.122729265298
995,Wiedlisbach,2654,7147.024777510993
3881,Conters im Prättigau,224,7243.705148070618
1511,Wolfenschiessen,2121,5302.364374990619
2973,Trasadingen,619,12563.361004311202
3713,Ferrera,76,14091.499045321436
5307,Campo (Vallemaggia),49,8437.700997504437
952,Dürrenroth,1077,6215.811780424243
6135,Leytron,3529,6009.518058913276
5323,Lavizzara,498,11334.714046791858
3945,Trimmis,3424,5575.637080010405
6703,Bourrignon,263,6287.275435290376
4176,Schwaderloch,728,7224.888606177115
4756,Schönholzerswilen,867,6173.225704439096
987,Rumisberg,493,6393.178208217417
2336,Semsales,1568,5938.2179014972235
6211,Collonges,869,5837.359640642853
6058,Fieschertal,357,11080.85535332834
2424,Herbetswil,608,9432.270173722754
43,Volken,382,6828.978699060296
3784,Pontresina,2072,7823.4148872878795
6024,Nendaz,7314,5606.643598223407
578,Gündlischwand,344,6471.932594867116
35,Marthalen,1990,7207.423532828403
886,Wattenwil,3230,9719.675032242574
5654,Vullierens,547,5187.631221190986
6809,Haute-Ajoie,1064,7614.202102209312
2901,Gächlingen,1029,10195.436440471341
687,Corcelles (BE),186,7120.165244329704
5871,L'Abbaye,1541,7135.525917545461
3862,Furna,203,10184.812770598475
564,Kandergrund,810,10305.914288045375
3791,Zuoz,1224,8689.345373206725
1216,Silenen,2037,9369.973367735265
863,Burgistein,1069,10007.97676012221
3983,Medel (Lucmagn),328,8697.282349677644
3661,Cazis,2439,5233.598677818135
218,Ellikon an der Thur,1024,5216.0200776324
5212,Ponte Capriasca,1958,6889.153796157284
3315,Schänis,4172,8365.065099895264
1369,Riemenstalden,85,8087.161621314307
883,Seftigen,2188,7575.955108778957
946,Wachseldorn,238,9301.585402150482
2855,Oltingen,526,6092.225185246857
726,Plateau de Diesse,2157,7704.423028906729
879,Riggisberg,3184,9780.765073329889
335,Oeschenbach,234,7967.834750168511
3882,Küblis,910,9263.763771791506
5557,Fontaines-sur-Grandson,219,5502.515977641389
953,Eriswil,1337,5000.839284108364
3395,Bütschwil-Ganterschwil,5336,6585.665887390269
6807,Basse-Allaine,1197,6432.483021152511
1371,Sattel,2066,5448.473991257387
2952,Schleitheim,1845,11410.912779934299
1100,Schlierbach,1008,5778.891001448766
357,Oberbalm,865,6487.8117047080505
5656,Hautemorges,4383,7776.700797564361
6811,Damphreux-Lugnez,370,6673.392953340218
4711,Affeltrangen,2880,5375.774675167919
1217,Sisikon,395,5915.62627075977
37,Ossingen,1835,8475.65881368524
3764,Valsot,801,8529.711722514063
23,Berg am Irchel,589,5679.857885868143
2465,Buchegg,2964,6725.49135051118
5741,L'Abergement,270,5057.7497552180885
332,Madiswil,3330,5959.636324473444
